sample_id,instr,playing_mode,sounding_note,dyn,acoustic_density,filename
double_bass_G2_pp,double_bass,ordinary,G2,pp,29.382299,double_bass_ordinary_cdm.json
double_bass_G2_mf,double_bass,ordinary,G2,mf,41.848498,double_bass_ordinary_cdm.json
double_bass_G2_ff,double_bass,ordinary,G2,ff,38.446632,double_bass_ordinary_cdm.json
double_bass_G#2_pp,double_bass,ordinary,G#2,pp,23.600827,double_bass_ordinary_cdm.json
double_bass_G#2_mf,double_bass,ordinary,G#2,mf,25.804115,double_bass_ordinary_cdm.json
double_bass_G#2_ff,double_bass,ordinary,G#2,ff,23.777648,double_bass_ordinary_cdm.json
double_bass_A2_pp,double_bass,ordinary,A2,pp,37.954012,double_bass_ordinary_cdm.json
double_bass_A2_mf,double_bass,ordinary,A2,mf,55.435454,double_bass_ordinary_cdm.json
double_bass_A2_ff,double_bass,ordinary,A2,ff,30.765658,double_bass_ordinary_cdm.json
double_bass_A#2_pp,double_bass,ordinary,A#2,pp,34.316669,double_bass_ordinary_cdm.json
double_bass_A#2_mf,double_bass,ordinary,A#2,mf,42.10368,double_bass_ordinary_cdm.json
double_bass_A#2_ff,double_bass,ordinary,A#2,ff,38.07556,double_bass_ordinary_cdm.json
double_bass_B2_pp,double_bass,ordinary,B2,pp,34.433284,double_bass_ordinary_cdm.json
double_bass_B2_mf,double_bass,ordinary,B2,mf,49.124752,double_bass_ordinary_cdm.json
double_bass_B2_ff,double_bass,ordinary,B2,ff,60.587924,double_bass_ordinary_cdm.json
double_bass_C3_pp,double_bass,ordinary,C3,pp,37.307357,double_bass_ordinary_cdm.json
double_bass_C3_mf,double_bass,ordinary,C3,mf,49.952933,double_bass_ordinary_cdm.json
double_bass_C3_ff,double_bass,ordinary,C3,ff,42.849937,double_bass_ordinary_cdm.json
double_bass_C#3_pp,double_bass,ordinary,C#3,pp,45.548412,double_bass_ordinary_cdm.json
double_bass_C#3_mf,double_bass,ordinary,C#3,mf,37.696838,double_bass_ordinary_cdm.json
double_bass_C#3_ff,double_bass,ordinary,C#3,ff,55.571074,double_bass_ordinary_cdm.json
double_bass_D3_pp,double_bass,ordinary,D3,pp,36.256618,double_bass_ordinary_cdm.json
double_bass_D3_mf,double_bass,ordinary,D3,mf,40.592667,double_bass_ordinary_cdm.json
double_bass_D3_ff,double_bass,ordinary,D3,ff,51.709786,double_bass_ordinary_cdm.json
double_bass_D#3_pp,double_bass,ordinary,D#3,pp,38.368971,double_bass_ordinary_cdm.json
double_bass_D#3_mf,double_bass,ordinary,D#3,mf,38.853647,double_bass_ordinary_cdm.json
double_bass_D#3_ff,double_bass,ordinary,D#3,ff,43.166477,double_bass_ordinary_cdm.json
double_bass_E3_pp,double_bass,ordinary,E3,pp,35.775475,double_bass_ordinary_cdm.json
double_bass_E3_mf,double_bass,ordinary,E3,mf,39.10624,double_bass_ordinary_cdm.json
double_bass_E3_ff,double_bass,ordinary,E3,ff,38.795969,double_bass_ordinary_cdm.json
double_bass_F3_pp,double_bass,ordinary,F3,pp,31.497165,double_bass_ordinary_cdm.json
double_bass_F3_mf,double_bass,ordinary,F3,mf,39.169219,double_bass_ordinary_cdm.json
double_bass_F3_ff,double_bass,ordinary,F3,ff,39.803759,double_bass_ordinary_cdm.json
double_bass_F#3_pp,double_bass,ordinary,F#3,pp,26.634748,double_bass_ordinary_cdm.json
double_bass_F#3_mf,double_bass,ordinary,F#3,mf,34.147334,double_bass_ordinary_cdm.json
double_bass_F#3_ff,double_bass,ordinary,F#3,ff,30.522211,double_bass_ordinary_cdm.json
double_bass_G3_pp,double_bass,ordinary,G3,pp,19.855789,double_bass_ordinary_cdm.json
double_bass_G3_mf,double_bass,ordinary,G3,mf,30.854407,double_bass_ordinary_cdm.json
double_bass_G3_ff,double_bass,ordinary,G3,ff,31.147623,double_bass_ordinary_cdm.json
double_bass_G#3_pp,double_bass,ordinary,G#3,pp,23.633009,double_bass_ordinary_cdm.json
double_bass_G#3_mf,double_bass,ordinary,G#3,mf,24.234414,double_bass_ordinary_cdm.json
double_bass_G#3_ff,double_bass,ordinary,G#3,ff,26.442099,double_bass_ordinary_cdm.json
double_bass_A3_pp,double_bass,ordinary,A3,pp,21.771446,double_bass_ordinary_cdm.json
double_bass_A3_mf,double_bass,ordinary,A3,mf,23.363639,double_bass_ordinary_cdm.json
double_bass_A3_ff,double_bass,ordinary,A3,ff,23.288357,double_bass_ordinary_cdm.json
double_bass_A#3_pp,double_bass,ordinary,A#3,pp,26.561281,double_bass_ordinary_cdm.json
double_bass_A#3_mf,double_bass,ordinary,A#3,mf,25.060635,double_bass_ordinary_cdm.json
double_bass_A#3_ff,double_bass,ordinary,A#3,ff,26.55611,double_bass_ordinary_cdm.json
double_bass_B3_pp,double_bass,ordinary,B3,pp,33.218245,double_bass_ordinary_cdm.json
double_bass_B3_mf,double_bass,ordinary,B3,mf,29.622159,double_bass_ordinary_cdm.json
double_bass_B3_ff,double_bass,ordinary,B3,ff,30.46437,double_bass_ordinary_cdm.json
double_bass_C4_pp,double_bass,ordinary,C4,pp,29.667227,double_bass_ordinary_cdm.json
